KNN Line accuracy scores
KNN k=1: [0.5675675675675675, 0.589041095890411, 0.6, 0.636986301369863, 0.6775956284153005, 0.6757990867579908, 0.66796875, 0.6404109589041096, 0.668693009118541, 0.6602739726027397, 0.6658354114713217, 0.6735159817351598, 0.679324894514768, 0.6634050880626223, 0.6563071297989032, 0.6558219178082192, 0.6483870967741936, 0.6590563165905632, 0.6046176046176046]
KNN k=2: [0.5675675675675675, 0.589041095890411, 0.6, 0.636986301369863, 0.6775956284153005, 0.6757990867579908, 0.66796875, 0.6404109589041096, 0.668693009118541, 0.6602739726027397, 0.6658354114713217, 0.6735159817351598, 0.679324894514768, 0.6634050880626223, 0.6563071297989032, 0.6558219178082192, 0.6483870967741936, 0.6590563165905632, 0.6046176046176046]
KNN k=3: [0.5945945945945946, 0.6986301369863014, 0.6454545454545455, 0.678082191780822, 0.6830601092896175, 0.6894977168949772, 0.67578125, 0.6678082191780822, 0.6778115501519757, 0.684931506849315, 0.6982543640897756, 0.682648401826484, 0.6940928270042194, 0.684931506849315, 0.6691042047531993, 0.6815068493150684, 0.6774193548387096, 0.6590563165905632, 0.6233766233766234]
KNN k=4: [0.5405405405405406, 0.684931506849315, 0.6454545454545455, 0.678082191780822, 0.6830601092896175, 0.6894977168949772, 0.68359375, 0.660958904109589, 0.6808510638297872, 0.684931506849315, 0.6932668329177057, 0.680365296803653, 0.679324894514768, 0.675146771037182, 0.6782449725776966, 0.6917808219178082, 0.682258064516129, 0.665144596651446, 0.6277056277056277]
KNN k=5: [0.6216216216216216, 0.684931506849315, 0.6454545454545455, 0.7054794520547946, 0.7103825136612022, 0.7168949771689498, 0.7109375, 0.702054794520548, 0.7203647416413373, 0.7068493150684931, 0.7256857855361596, 0.7009132420091324, 0.7172995780590717, 0.7240704500978473, 0.6928702010968921, 0.6986301369863014, 0.6951612903225807, 0.7047184170471842, 0.6637806637806638]
KNN k=6: [0.5675675675675675, 0.6575342465753424, 0.6454545454545455, 0.7054794520547946, 0.7049180327868853, 0.7123287671232876, 0.70703125, 0.6952054794520548, 0.7203647416413373, 0.7178082191780822, 0.7206982543640897, 0.7031963470319634, 0.7151898734177216, 0.7181996086105675, 0.6983546617915904, 0.6986301369863014, 0.6919354838709677, 0.6940639269406392, 0.6320346320346321]
KNN k=7: [0.6756756756756757, 0.7123287671232876, 0.6909090909090909, 0.7123287671232876, 0.726775956284153, 0.7351598173515982, 0.7265625, 0.7123287671232876, 0.7142857142857143, 0.7287671232876712, 0.7506234413965087, 0.7100456621004566, 0.7341772151898734, 0.7201565557729941, 0.6946983546617916, 0.6832191780821918, 0.6983870967741935, 0.7016742770167428, 0.6551226551226551]
KNN k=8: [0.6216216216216216, 0.7123287671232876, 0.6909090909090909, 0.7191780821917808, 0.7158469945355191, 0.726027397260274, 0.734375, 0.7191780821917808, 0.7142857142857143, 0.736986301369863, 0.7406483790523691, 0.7168949771689498, 0.7109704641350211, 0.7142857142857143, 0.696526508226691, 0.6986301369863014, 0.6951612903225807, 0.6879756468797564, 0.6464646464646465]
KNN k=9: [0.6486486486486487, 0.7397260273972602, 0.7, 0.7191780821917808, 0.7213114754098361, 0.7214611872146118, 0.73046875, 0.726027397260274, 0.7203647416413373, 0.7479452054794521, 0.7331670822942643, 0.7146118721461188, 0.7109704641350211, 0.7103718199608611, 0.680073126142596, 0.6917808219178082, 0.6983870967741935, 0.7016742770167428, 0.6464646464646465]
KNN k=10: [0.6216216216216216, 0.726027397260274, 0.7, 0.726027397260274, 0.7213114754098361, 0.7214611872146118, 0.71875, 0.7054794520547946, 0.723404255319149, 0.7315068493150685, 0.7281795511221946, 0.7146118721461188, 0.7151898734177216, 0.7201565557729941, 0.6892138939670932, 0.7003424657534246, 0.6983870967741935, 0.6894977168949772, 0.645021645021645]
KNN k=11: [0.6216216216216216, 0.726027397260274, 0.7090909090909091, 0.7328767123287672, 0.7540983606557377, 0.7488584474885844, 0.74609375, 0.7294520547945206, 0.7203647416413373, 0.7232876712328767, 0.71571072319202, 0.7077625570776256, 0.7088607594936709, 0.7084148727984344, 0.6837294332723949, 0.6986301369863014, 0.6870967741935484, 0.6757990867579908, 0.6479076479076479]
KNN k=12: [0.6216216216216216, 0.6986301369863014, 0.7, 0.7397260273972602, 0.7486338797814208, 0.7534246575342466, 0.74609375, 0.7157534246575342, 0.7082066869300911, 0.7205479452054795, 0.7206982543640897, 0.7168949771689498, 0.7130801687763713, 0.6986301369863014, 0.6892138939670932, 0.696917808219178, 0.6903225806451613, 0.6742770167427702, 0.6421356421356421]
KNN k=13: [0.6756756756756757, 0.7123287671232876, 0.6909090909090909, 0.7397260273972602, 0.7486338797814208, 0.7579908675799086, 0.7421875, 0.7226027397260274, 0.7051671732522796, 0.7150684931506849, 0.7231920199501247, 0.7031963470319634, 0.7257383966244726, 0.7045009784735812, 0.6892138939670932, 0.6934931506849316, 0.682258064516129, 0.6773211567732116, 0.6507936507936508]
KNN k=14: [0.6216216216216216, 0.6986301369863014, 0.6909090909090909, 0.7328767123287672, 0.7377049180327869, 0.7442922374429224, 0.7265625, 0.7157534246575342, 0.7173252279635258, 0.726027397260274, 0.7256857855361596, 0.7168949771689498, 0.7257383966244726, 0.7103718199608611, 0.6910420475319927, 0.6934931506849316, 0.6870967741935484, 0.6818873668188736, 0.6522366522366523]
