KNN Line Recall scores
KNN k=12: [np.float64(0.6344916344916345), np.float64(0.7016408249284961), np.float64(0.6979166666666667), np.float64(0.734826810838898), np.float64(0.7447381569868424), np.float64(0.7478985863604966), np.float64(0.740746489752816), np.float64(0.7079213039057418), np.float64(0.699738036410597), np.float64(0.7158068808503765), np.float64(0.7131982710195255), np.float64(0.7078817090232615), np.float64(0.7034545977401279), np.float64(0.6898569422836109), np.float64(0.6763414044276163), np.float64(0.6851873465365729), np.float64(0.6903225806451613), np.float64(0.6778522006627611), np.float64(0.5223023889690557)]
KNN k=13: [np.float64(0.6875826875826876), np.float64(0.71175799086758), np.float64(0.688518504770036), np.float64(0.7354048335003899), np.float64(0.7479944192535751), np.float64(0.75357526716094), np.float64(0.7362150517321553), np.float64(0.7155615038127733), np.float64(0.6962684846829001), np.float64(0.7119523269411075), np.float64(0.7182901056069548), np.float64(0.6925482521775833), np.float64(0.7162457382859851), np.float64(0.6930443903194471), np.float64(0.6758524414715135), np.float64(0.68147615662962), np.float64(0.6811759949649474), np.float64(0.6773211567732116), np.float64(0.5573861661452902)]
KNN k=14: [np.float64(0.6344916344916345), np.float64(0.7016408249284961), np.float64(0.6871310507674143), np.float64(0.728224347376583), np.float64(0.7353915755349927), np.float64(0.7385154921804765), np.float64(0.7192855165122836), np.float64(0.708288618142794), np.float64(0.7102380610423451), np.float64(0.7276801575397032), np.float64(0.7216413061638707), np.float64(0.7085235920852359), np.float64(0.7162457382859851), np.float64(0.698740416714631), np.float64(0.6763064115865067), np.float64(0.6810765538261648), np.float64(0.6849912316457015), np.float64(0.6822272488066472), np.float64(0.42696994720116105)]
KNN k=15: [np.float64(0.6040307548928239), np.float64(0.7201473248901524), np.float64(0.7334649173729633), np.float64(0.7354048335003899), np.float64(0.7534608378870673), np.float64(0.732979445018309), np.float64(0.7188753342245989), np.float64(0.7239593460008839), np.float64(0.7201480430049336), np.float64(0.7219489414694894), np.float64(0.7250512518275586), np.float64(0.7127554698880273), np.float64(0.7168376012629063), np.float64(0.6960031629410556), np.float64(0.6668399137007252), np.float64(0.6922709527496171), np.float64(0.6837127487514203), np.float64(0.6918859820654149), np.float64(0.427297089634752)]
KNN k=16: [np.float64(0.6344916344916345), np.float64(0.7149659365614242), np.float64(0.688518504770036), np.float64(0.7129264667872836), np.float64(0.7342095144884477), np.float64(0.7280106028945128), np.float64(0.7277982606807233), np.float64(0.7288605230386053), np.float64(0.7252213361513293), np.float64(0.744757046134467), np.float64(0.728522075680864), np.float64(0.7081835038883715), np.float64(0.7166254024712022), np.float64(0.6949525947527107), np.float64(0.6744803494346455), np.float64(0.7014628777728442), np.float64(0.6803731745460855), np.float64(0.6931412466130957), np.float64(0.427297089634752)]
KNN k=17: [np.float64(0.6344916344916345), np.float64(0.7201473248901524), np.float64(0.7091948476186941), np.float64(0.7354048335003899), np.float64(0.740991196114147), np.float64(0.7230049358882203), np.float64(0.7453802416488984), np.float64(0.7324701319822355), np.float64(0.7175927373218873), np.float64(0.7320322762244323), np.float64(0.7346711728313903), np.float64(0.7081835038883715), np.float64(0.7197916558498874), np.float64(0.6929212034969573), np.float64(0.6731344207406256), np.float64(0.6855129071923728), np.float64(0.6823429159554326), np.float64(0.7018763927378435), np.float64(0.427297089634752)]
KNN k=18: [np.float64(0.6344916344916345), np.float64(0.7201473248901524), np.float64(0.688518504770036), np.float64(0.728224347376583), np.float64(0.7465532824335998), np.float64(0.7433851567367001), np.float64(0.7428519652061856), np.float64(0.7215722571886956), np.float64(0.7340820273950973), np.float64(0.7384563335434011), np.float64(0.7356553706881489), np.float64(0.7164285404487379), np.float64(0.7144462889949506), np.float64(0.6976254680493705), np.float64(0.6860420164409456), np.float64(0.7047512910174187), np.float64(0.6849458525345622), np.float64(0.684664240367289), np.float64(0.427297089634752)]
KNN k=19: [np.float64(0.595995995995996), np.float64(0.7071216854922695), np.float64(0.6692596462711405), np.float64(0.7136739298779674), np.float64(0.7479944192535751), np.float64(0.7342680995649032), np.float64(0.7412660735645933), np.float64(0.7224300679175779), np.float64(0.7235496865955993), np.float64(0.732910083917336), np.float64(0.7241085670039347), np.float64(0.7129634992807978), np.float64(0.7150212286288237), np.float64(0.6912937865944795), np.float64(0.6753791263875596), np.float64(0.7045563873479743), np.float64(0.683976264803528), np.float64(0.6993301205880841), np.float64(0.427297089634752)]
KNN k=20: [np.float64(0.5641355641355641), np.float64(0.7071216854922695), np.float64(0.6811450744377574), np.float64(0.7310363913103639), np.float64(0.742491324638028), np.float64(0.7391408235377497), np.float64(0.7428519652061856), np.float64(0.7187559917308436), np.float64(0.7300587294175741), np.float64(0.7236494970752045), np.float64(0.7277842460095818), np.float64(0.7086554019303468), np.float64(0.7147078777305876), np.float64(0.7056373519342001), np.float64(0.6708807974576873), np.float64(0.7158813440572165), np.float64(0.683976264803528), np.float64(0.7038596271797044), np.float64(0.427297089634752)]
KNN k=21: [np.float64(0.5641355641355641), np.float64(0.7016408249284961), np.float64(0.7), np.float64(0.7221756128379228), np.float64(0.7369446424328819), np.float64(0.7391408235377497), np.float64(0.737130613169553), np.float64(0.7234430619689438), np.float64(0.7332209120643592), np.float64(0.7265449298652601), np.float64(0.7224422123832556), np.float64(0.7164285404487379), np.float64(0.7197916558498874), np.float64(0.6956285936004919), np.float64(0.6594660567830941), np.float64(0.7019136430951498), np.float64(0.6867777481117388), np.float64(0.6959911003564729), np.float64(0.427297089634752)]
